Producte;Data;Referencia;Des de;A;Quantitat;Signe;Estoc acumulat
[8846295] Brotxa virola ferro amb tac n.10;24/10/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;95;-1;-95.0
[8846295] Brotxa virola ferro amb tac n.10;24/10/2025;MGZ01/SURT/00003;MGZ01/Stock;Customers;91;-1;-186.0
[8846295] Brotxa virola ferro amb tac n.10;29/10/2025;MGZ01/ENTRA/00005;Vendors;MGZ01/Stock;221;1;35.0
[8846295] Brotxa virola ferro amb tac n.10;29/10/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;83;-1;-48.0
[8846295] Brotxa virola ferro amb tac n.10;29/10/2025;MGZ01/SURT/00006;MGZ01/Stock;Customers;68;-1;-116.0
[8846295] Brotxa virola ferro amb tac n.10;29/10/2025;MGZ01/SURT/00005;MGZ01/Stock;Customers;70;-1;-186.0
[8846295] Brotxa virola ferro amb tac n.10;06/11/2025;MGZ01/ENTRA/00008;Vendors;MGZ01/Stock;278;1;92.0
[8846295] Brotxa virola ferro amb tac n.10;06/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;80;-1;12.0
[8846295] Brotxa virola ferro amb tac n.10;06/11/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;82;-1;-70.0
[8846295] Brotxa virola ferro amb tac n.10;06/11/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;110;-1;-180.0
[8846295] Brotxa virola ferro amb tac n.10;13/11/2025;MGZ01/ENTRA/00010;Vendors;MGZ01/Stock;267;1;87.0
[8846295] Brotxa virola ferro amb tac n.10;14/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;93;-1;-6.0
[8846295] Brotxa virola ferro amb tac n.10;14/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;93;-1;-99.0
[8846295] Brotxa virola ferro amb tac n.10;14/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;87;-1;-186.0
[8846295] Brotxa virola ferro amb tac n.10;19/11/2025;MGZ01/ENTRA/00014;Vendors;MGZ01/Stock;272;1;86.0
[8846295] Brotxa virola ferro amb tac n.10;19/11/2025;MGZ01/ENTRA/00013;Vendors;MGZ01/Stock;278;1;364.0
[8846295] Brotxa virola ferro amb tac n.10;19/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;70;-1;294.0
[8846295] Brotxa virola ferro amb tac n.10;19/11/2025;MGZ01/SURT/00014;MGZ01/Stock;Vendors;278;-1;16.0
[8846295] Brotxa virola ferro amb tac n.10;21/11/2025;MGZ01/SURT/00017;MGZ01/Stock;Customers;84;-1;-68.0
[8846295] Brotxa virola ferro amb tac n.10;21/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;97;-1;-165.0
[9644056] Allargament extensible alumini 1 m;23/10/2025;MGZ01/SURT/00002;MGZ01/Stock;Customers;75;-1;-75.0
[9644056] Allargament extensible alumini 1 m;24/10/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;105;-1;-180.0
[9644056] Allargament extensible alumini 1 m;24/10/2025;MGZ01/SURT/00003;MGZ01/Stock;Customers;78;-1;-258.0
[9644056] Allargament extensible alumini 1 m;29/10/2025;MGZ01/ENTRA/00005;Vendors;MGZ01/Stock;239;1;-19.0
[9644056] Allargament extensible alumini 1 m;29/10/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;82;-1;-101.0
[9644056] Allargament extensible alumini 1 m;29/10/2025;MGZ01/SURT/00006;MGZ01/Stock;Customers;82;-1;-183.0
[9644056] Allargament extensible alumini 1 m;29/10/2025;MGZ01/SURT/00005;MGZ01/Stock;Customers;75;-1;-258.0
[9644056] Allargament extensible alumini 1 m;06/11/2025;MGZ01/ENTRA/00008;Vendors;MGZ01/Stock;238;1;-20.0
[9644056] Allargament extensible alumini 1 m;06/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;89;-1;-109.0
[9644056] Allargament extensible alumini 1 m;06/11/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;81;-1;-190.0
[9644056] Allargament extensible alumini 1 m;06/11/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;95;-1;-285.0
